file,asset,channel,name_size,width,height,mips,format,format_id,cube,bytes
asset-eic-satellite1_specular_256.atf,asset-eic-satellite1,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,30672
asset-eic-satellite1_specular_512.atf,asset-eic-satellite1,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,107640
asset-mmo-asteroid-a_diffuse_128.atf,asset-mmo-asteroid-a,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8134
asset-mmo-asteroid-a_diffuse_256.atf,asset-mmo-asteroid-a,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,23920
asset-mmo-asteroid-a_diffuse_512.atf,asset-mmo-asteroid-a,diffuse,512,512,512,10,COMPRESSED_ALPHA(DXT5),4,False,81088
asset-mmo-asteroid-a_normal_128.atf,asset-mmo-asteroid-a,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10602
asset-mmo-asteroid-a_normal_256.atf,asset-mmo-asteroid-a,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,33681
asset-mmo-asteroid-a_normal_512.atf,asset-mmo-asteroid-a,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,111783
asset-mmo-asteroid-a_specular_128.atf,asset-mmo-asteroid-a,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,5999
asset-mmo-asteroid-a_specular_256.atf,asset-mmo-asteroid-a,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,16893
asset-mmo-asteroid-a_specular_512.atf,asset-mmo-asteroid-a,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,56462
asset-mmo-asteroid-b_ao_128.atf,asset-mmo-asteroid-b,ao,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7403
asset-mmo-asteroid-b_ao_256.atf,asset-mmo-asteroid-b,ao,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,19339
asset-mmo-asteroid-b_ao_512.atf,asset-mmo-asteroid-b,ao,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,56457
asset-mmo-asteroid-b_bump_128.atf,asset-mmo-asteroid-b,bump,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,6860
asset-mmo-asteroid-b_bump_256.atf,asset-mmo-asteroid-b,bump,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,22809
asset-mmo-asteroid-b_bump_512.atf,asset-mmo-asteroid-b,bump,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,84475
asset-mmo-asteroid-b_diffuse-clean_128.atf,asset-mmo-asteroid-b_diffuse-clean,?,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,7889
asset-mmo-asteroid-b_diffuse-clean_256.atf,asset-mmo-asteroid-b_diffuse-clean,?,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,22510
asset-mmo-asteroid-b_diffuse-clean_512.atf,asset-mmo-asteroid-b_diffuse-clean,?,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,72195
asset-mmo-asteroid-b_diffuse_128.atf,asset-mmo-asteroid-b,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10406
asset-mmo-asteroid-b_diffuse_256.atf,asset-mmo-asteroid-b,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,35755
